nome da categoria,
nome da subcategoria,
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$
nome do serviço 1 ,valor sem prefixo R$